Total_visa,c_withdraw,certified,company,denied,job_location,job_name,number_j_location,number_j_name,salary,withdraw,year
2318,0,618,"Globallogic, Inc.",1,"Deerfield,IL,San JoseCA,Menomonee FallsWI,Irving,TX,Mountain ViewCA","Senior Software Engineer,Lead Software Engineer,Software Engineer,Senior Test Engineer,Specialist Engineer","399,151,98,81,75","469,257,184,117,103","$120,903",0,2018
2318,6,499,"Globallogic, Inc.",0,"Deerfield,IL,San JoseCA,Menomonee FallsWI,Irving,TX,Mountain ViewCA","Senior Software Engineer,Lead Software Engineer,Software Engineer,Senior Test Engineer,Specialist Engineer","399,151,98,81,75","469,257,184,117,103","$110,051",11,2017
2318,16,313,"Globallogic, Inc.",6,"Deerfield,IL,San JoseCA,Menomonee FallsWI,Irving,TX,Mountain ViewCA","Senior Software Engineer,Lead Software Engineer,Software Engineer,Senior Test Engineer,Specialist Engineer","399,151,98,81,75","469,257,184,117,103","$110,720",2,2016
2427,4,301,Emc Corporation,2,"Hopkinton,MA,Santa ClaraCA,Southborough,MA,Seattle,WA,San FranciscoCA","Software Engineer ,Senior Software Engineer,Principal Software Engineer,Software Engineer,Software Senior Engineer","325,172,148,95,54","117,88,82,73,46","$112,838",6,2018
2427,26,394,Emc Corporation,5,"Hopkinton,MA,Santa ClaraCA,Southborough,MA,Seattle,WA,San FranciscoCA","Software Engineer ,Senior Software Engineer,Principal Software Engineer,Software Engineer,Software Senior Engineer","325,172,148,95,54","117,88,82,73,46","$113,088",15,2017
2427,84,723,Emc Corporation,5,"Hopkinton,MA,Santa ClaraCA,Southborough,MA,Seattle,WA,San FranciscoCA","Software Engineer ,Senior Software Engineer,Principal Software Engineer,Software Engineer,Software Senior Engineer","325,172,148,95,54","117,88,82,73,46","$113,460",11,2016
2171,51,0,Yahoo! Inc.,0,"Sunnyvale,CA,Champaign,IL,New YorkNY,San FranciscoCA,Lockport,NY","Tech Yahoo Software Dev Engineer,Tech Yahoo Software Dev Engineer Interm,Tech Yahoo Software Dev Engineer Sr,Tech Yahoo Software Dev Engineer Principal,Tech Yahoo Software Apps Dev Engineer","973,58,56,47,25","168,78,73,36,25","$140,838",1,2018
2171,88,343,Yahoo! Inc.,7,"Sunnyvale,CA,Champaign,IL,New YorkNY,San FranciscoCA,Lockport,NY","Tech Yahoo Software Dev Engineer,Tech Yahoo Software Dev Engineer Interm,Tech Yahoo Software Dev Engineer Sr,Tech Yahoo Software Dev Engineer Principal,Tech Yahoo Software Apps Dev Engineer","973,58,56,47,25","168,78,73,36,25","$138,366",2,2017
2171,211,467,Yahoo! Inc.,6,"Sunnyvale,CA,Champaign,IL,New YorkNY,San FranciscoCA,Lockport,NY","Tech Yahoo Software Dev Engineer,Tech Yahoo Software Dev Engineer Interm,Tech Yahoo Software Dev Engineer Sr,Tech Yahoo Software Dev Engineer Principal,Tech Yahoo Software Apps Dev Engineer","973,58,56,47,25","168,78,73,36,25","$142,385",26,2016
2299,1,579,Avco Consulting Inc,1,"Worcester,MA,Columbus,OH,Indianapolis,IN,Boston,MA,Charlotte,NC","Java Developer,Dot Net Developer,Programmer Analyst,Software Developer,Software Engineer","1034,27,11,11,11","132,112,66,65,65","$87,174",5,2018
2299,0,439,Avco Consulting Inc,0,"Worcester,MA,Columbus,OH,Indianapolis,IN,Boston,MA,Charlotte,NC","Java Developer,Dot Net Developer,Programmer Analyst,Software Developer,Software Engineer","1034,27,11,11,11","132,112,66,65,65","$75,682",2,2017
2299,0,452,Avco Consulting Inc,1,"Worcester,MA,Columbus,OH,Indianapolis,IN,Boston,MA,Charlotte,NC","Java Developer,Dot Net Developer,Programmer Analyst,Software Developer,Software Engineer","1034,27,11,11,11","132,112,66,65,65","$72,045",3,2016
1763,160,277,"Photon Infotech, Inc.",0,"Columbus,OH,New YorkNY,Deerfield,IL,Plano,TX,Chicago,IL","Technical Lead,Application Developer,Senior Software Engineer,Java Developer,Project Manager","230,139,126,120,75","182,123,95,35,27","$89,876",2,2018
1763,0,437,"Photon Infotech, Inc.",2,"Columbus,OH,New YorkNY,Deerfield,IL,Plano,TX,Chicago,IL","Technical Lead,Application Developer,Senior Software Engineer,Java Developer,Project Manager","230,139,126,120,75","182,123,95,35,27","$80,070",2,2017
1763,4,345,"Photon Infotech, Inc.",3,"Columbus,OH,New YorkNY,Deerfield,IL,Plano,TX,Chicago,IL","Technical Lead,Application Developer,Senior Software Engineer,Java Developer,Project Manager","230,139,126,120,75","182,123,95,35,27","$78,629",4,2016
1216,70,0,"Ciber, Inc.",0,"Dearborn,MI,Nashville,TN,Pittsburgh,PA,Charlotte,NC,Bothell,WA","Programmer Analyst,App ProgrammerDeveloper,Business Systems Analyst,Business Analyst,Erp Functional Analyst","151,63,52,37,37","129,54,42,37,28","$84,810",1,2018
1216,263,171,"Ciber, Inc.",2,"Dearborn,MI,Nashville,TN,Pittsburgh,PA,Charlotte,NC,Bothell,WA","Programmer Analyst,App ProgrammerDeveloper,Business Systems Analyst,Business Analyst,Erp Functional Analyst","151,63,52,37,37","129,54,42,37,28","$98,424",7,2017
1216,59,423,"Ciber, Inc.",10,"Dearborn,MI,Nashville,TN,Pittsburgh,PA,Charlotte,NC,Bothell,WA","Programmer Analyst,App ProgrammerDeveloper,Business Systems Analyst,Business Analyst,Erp Functional Analyst","151,63,52,37,37","129,54,42,37,28","$100,649",11,2016
2155,0,539,"Sap America, Inc.",3,"Newtown SquarePA,Palo AltoCA,Houston,TX,Plano,TX,Downers GroveIL","Senior Support Engineer,Support Engineer,Support Architect,Business Processes Senior Consultant,Business Processes Principal Consultant","640,127,42,36,33","326,112,105,84,59","$119,531",4,2018
2155,1,439,"Sap America, Inc.",2,"Newtown SquarePA,Palo AltoCA,Houston,TX,Plano,TX,Downers GroveIL","Senior Support Engineer,Support Engineer,Support Architect,Business Processes Senior Consultant,Business Processes Principal Consultant","640,127,42,36,33","326,112,105,84,59","$116,297",1,2017
2155,0,321,"Sap America, Inc.",1,"Newtown SquarePA,Palo AltoCA,Houston,TX,Plano,TX,Downers GroveIL","Senior Support Engineer,Support Engineer,Support Architect,Business Processes Senior Consultant,Business Processes Principal Consultant","640,127,42,36,33","326,112,105,84,59","$112,642",1,2016
115,0,795,Polaris Consulting & Services Ltd,0,"Tampa,FL,Jersey CityNJ,Buffalo,NY,New CastleDE,Irving,TX","It Project Manager ,Computer Systems Engineer ,It Project Manager ,Programmer Analyst,Computer Systems Engineer ","425,131,129,111,99","456,386,111,54,44","$93,709",16,2018
115,7,399,Polaris Consulting & Services Ltd,0,"Tampa,FL,Jersey CityNJ,Buffalo,NY,New CastleDE,Irving,TX","It Project Manager ,Computer Systems Engineer ,It Project Manager ,Programmer Analyst,Computer Systems Engineer ","425,131,129,111,99","456,386,111,54,44","$88,586",41,2017
115,1,132,Polaris Consulting & Services Ltd,2,"Tampa,FL,Jersey CityNJ,Buffalo,NY,New CastleDE,Irving,TX","It Project Manager ,Computer Systems Engineer ,It Project Manager ,Programmer Analyst,Computer Systems Engineer ","425,131,129,111,99","456,386,111,54,44","$76,389",16,2016
2291,0,497,Deloitte Tax Llp,1,"New YorkNY,Chicago,IL,San JoseCA,San FranciscoCA,Dallas,TX","Tax Senior,Tax Consultant I,Tax Consultant,Tax Manager,Tax Consultant Ii","276,213,103,92,83","630,269,266,190,139","$77,865",1,2018
2291,0,448,Deloitte Tax Llp,2,"New YorkNY,Chicago,IL,San JoseCA,San FranciscoCA,Dallas,TX","Tax Senior,Tax Consultant I,Tax Consultant,Tax Manager,Tax Consultant Ii","276,213,103,92,83","630,269,266,190,139","$73,500",1,2017
2291,0,606,Deloitte Tax Llp,3,"New YorkNY,Chicago,IL,San JoseCA,San FranciscoCA,Dallas,TX","Tax Senior,Tax Consultant I,Tax Consultant,Tax Manager,Tax Consultant Ii","276,213,103,92,83","630,269,266,190,139","$69,442",2,2016
2235,0,432,"The Mathworks, Inc.",1,"Natick,MA,Novi,MI,Torrance,CA,Santa ClaraCA,Torrance,MA","Software Engineer,Application Support Engineer,Quality Engineer,Senior Software Engineer,Senior Quality Engineer","1360,11,,,","320,281,270,117,33","$102,099",3,2018
2235,1,450,"The Mathworks, Inc.",0,"Natick,MA,Novi,MI,Torrance,CA,Santa ClaraCA,Torrance,MA","Software Engineer,Application Support Engineer,Quality Engineer,Senior Software Engineer,Senior Quality Engineer","1360,11,,,","320,281,270,117,33","$98,828",1,2017
2235,4,487,"The Mathworks, Inc.",0,"Natick,MA,Novi,MI,Torrance,CA,Santa ClaraCA,Torrance,MA","Software Engineer,Application Support Engineer,Quality Engineer,Senior Software Engineer,Senior Quality Engineer","1360,11,,,","320,281,270,117,33","$94,153",5,2016
20527,0,0,Exilant Technologies Private Ltd.,0,"Sunnyvale,CA","Systems Analyst Ii,Systems Analyst Iv,Systems Analyst Iii,Systems Analyst I,Systems Analyst",34,"21,,,,",-,0,2018
20527,0,0,Exilant Technologies Private Ltd.,0,"Sunnyvale,CA","Systems Analyst Ii,Systems Analyst Iv,Systems Analyst Iii,Systems Analyst I,Systems Analyst",34,"21,,,,",-,0,2017
20527,3,0,Exilant Technologies Private Ltd.,0,"Sunnyvale,CA","Systems Analyst Ii,Systems Analyst Iv,Systems Analyst Iii,Systems Analyst I,Systems Analyst",34,"21,,,,","$93,025",5,2016
3758,2,1091,"Amazon Web Services, Inc.",11,"Seattle,WA,Herndon,VA,Dallas,TX,New YorkNY,San FranciscoCA","Software Development Engineer Ii,Software Development Engineer I,Support Engineer Iii,Solutions Architect Iii,Technical Account Manager I","962,200,191,123,97","147,134,127,85,69","$129,417",12,2018
3758,2,436,"Amazon Web Services, Inc.",4,"Seattle,WA,Herndon,VA,Dallas,TX,New YorkNY,San FranciscoCA","Software Development Engineer Ii,Software Development Engineer I,Support Engineer Iii,Solutions Architect Iii,Technical Account Manager I","962,200,191,123,97","147,134,127,85,69","$123,763",11,2017
3758,0,328,"Amazon Web Services, Inc.",3,"Seattle,WA,Herndon,VA,Dallas,TX,New YorkNY,San FranciscoCA","Software Development Engineer Ii,Software Development Engineer I,Support Engineer Iii,Solutions Architect Iii,Technical Account Manager I","962,200,191,123,97","147,134,127,85,69","$118,008",12,2016
1912,192,264,Johns Hopkins University,0,"Baltimore,MD,Washington,DC,Columbia,MD,St PetersburgFL,Lutherville,MD","Postdoctoral Research Fellow,Postdoctoral Fellow,Research Associate,Assistant Professor,Resident","1319,24,,,","240,197,163,156,34","$77,875",24,2018
1912,164,288,Johns Hopkins University,0,"Baltimore,MD,Washington,DC,Columbia,MD,St PetersburgFL,Lutherville,MD","Postdoctoral Research Fellow,Postdoctoral Fellow,Research Associate,Assistant Professor,Resident","1319,24,,,","240,197,163,156,34","$72,078",18,2017
1912,74,356,Johns Hopkins University,3,"Baltimore,MD,Washington,DC,Columbia,MD,St PetersburgFL,Lutherville,MD","Postdoctoral Research Fellow,Postdoctoral Fellow,Research Associate,Assistant Professor,Resident","1319,24,,,","240,197,163,156,34","$74,961",16,2016
